timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
030303031,3,F1,,0.0,,11.071305,,,,,,,,,,,,,,,
2025-12-08T16:22:11.988284+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17231.769874,,,119,0,0,400
2025-12-08T16:22:12.194748+00:00,gnb:131-133-31000000,unknown,2,F1,,11.779182,,,,,,,,,,,,,,,
2025-12-08T16:22:12.194862+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:12.194927+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.558363,,,,,,,,
2025-12-08T16:22:12.195087+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:12.195150+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:12.195214+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:12.196716+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:12.196800+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17187.930108,,,119,0,0,400
2025-12-08T16:22:12.196871+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:12.402921+00:00,gnb:131-133-31000000,unknown,2,F1,,11.77785,,,,,,,,,,,,,,,
2025-12-08T16:22:12.403029+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:12.403093+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.555701,,,,,,,,
2025-12-08T16:22:12.404613+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:12.404715+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:12.404785+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:12.404939+00:00,gnb:131-133-31000000,CELL_1111,2,F1,2,,119,0,0,400,,,,,,,,,,,
2025-12-08T16:22:12.405000+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,0.0,,,0,0,0,0
2025-12-08T16:22:12.405057+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,17145.493095,,,119,0,0,400
2025-12-08T16:22:12.613740+00:00,gnb:131-133-31000000,unknown,2,F1,,11.779043,,,,,,,,,,,,,,,
2025-12-08T16:22:12.613924+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,0.0,,,,,,,,
2025-12-08T16:22:12.614083+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,23.558086,,,,,,,,
2025-12-08T16:22:12.819452+00:00,gnb:131-133-31000000,unknown,2,F1,,,,,,,,,,,,,,,,,
2025-12-08T16:22:12.819555+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2025-12-08T16:22:12.819623+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
